City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Vardo,NO,70.3705,31.1107,24.78,93,100,34.52,fog
1,Thaton,MM,16.9206,97.3714,82.17,77,24,1.45,few clouds
2,Wundanyi,KE,-3.4019,38.364,62.29,89,94,4.74,overcast clouds
3,Khatanga,RU,71.9667,102.5,13.3,84,100,10.25,overcast clouds
4,Tasiilaq,GL,65.6145,-37.6368,33.96,79,99,5.35,overcast clouds
5,Nikolskoye,RU,59.7035,30.7861,31.91,72,55,2.42,broken clouds
6,Chifeng,CN,42.2683,118.9636,45.99,42,100,3.65,overcast clouds
7,Buala,SB,-8.145,159.5921,80.73,82,78,5.46,broken clouds
8,Saurimo,AO,-9.6608,20.3916,64.71,93,100,2.26,overcast clouds
9,Hilo,US,19.7297,-155.09,82.27,91,100,3.0,light rain
10,Chuy,UY,-33.6971,-53.4616,66.15,79,88,6.93,overcast clouds
11,Atuona,PF,-9.8,-139.0333,78.62,77,29,21.9,light rain
12,Hasaki,JP,35.7333,140.8333,59.4,55,100,24.05,overcast clouds
13,Nome,US,64.5011,-165.4064,39.16,74,0,9.22,clear sky
14,Rikitea,PF,-23.1203,-134.9692,77.16,72,7,24.67,clear sky
15,Louis Trichardt,ZA,-23.0439,29.9032,54.93,82,2,2.21,clear sky
16,Ushuaia,AR,-54.8,-68.3,35.26,69,40,17.27,scattered clouds
17,Barrow,US,71.2906,-156.7887,6.82,78,100,13.8,haze
18,Nara,JP,34.6851,135.8049,54.5,58,100,4.05,overcast clouds
19,Vostok,RU,46.4856,135.8833,25.79,87,6,6.13,clear sky
20,Bredasdorp,ZA,-34.5322,20.0403,56.25,90,0,1.88,clear sky
21,Port Hedland,AU,-20.3167,118.5667,77.05,78,40,0.0,scattered clouds
22,Santa Clarita,US,34.3917,-118.5426,79.84,44,0,11.5,clear sky
23,Nanortalik,GL,60.1432,-45.2371,40.62,84,100,11.05,overcast clouds
24,Vaini,TO,-21.2,-175.2,77.16,61,20,9.22,few clouds
25,Cidreira,BR,-30.1811,-50.2056,79.61,73,10,8.84,clear sky
26,Albany,US,42.6001,-73.9662,49.59,44,79,5.01,broken clouds
27,Avarua,CK,-21.2078,-159.775,82.45,83,37,5.75,scattered clouds
28,Yudong,CN,29.385,106.5194,74.5,89,99,12.03,moderate rain
29,San Carlos De Bariloche,AR,-41.1456,-71.3082,37.15,52,40,16.11,scattered clouds
30,Carnarvon,AU,-24.8667,113.6333,59.07,88,3,8.05,clear sky
31,Kroya,ID,-7.6331,109.2461,78.91,85,100,1.32,overcast clouds
32,Hobyo,SO,5.3505,48.5268,84.0,73,98,13.15,overcast clouds
33,Antsohihy,MG,-14.8796,47.9875,76.5,85,31,2.84,scattered clouds
34,Auki,SB,-8.7676,160.7034,77.49,85,89,3.2,overcast clouds
35,Georgetown,MY,5.4112,100.3354,85.95,89,20,1.14,few clouds
36,Padang,ID,-0.9492,100.3543,78.64,87,96,2.3,light rain
37,Lahat,ID,-3.8,103.5333,72.45,98,100,2.93,overcast clouds
38,Saint Anthony,US,45.0205,-93.218,50.31,43,0,16.11,clear sky
39,Puerto Ayora,EC,-0.7393,-90.3518,76.96,77,30,8.28,scattered clouds
40,Sosnovo-Ozerskoye,RU,52.5249,111.5418,30.2,66,100,13.29,light snow
41,Geraldton,AU,-28.7667,114.6,57.61,94,14,8.05,few clouds
42,Kutum,SD,14.2,24.6667,84.36,17,21,10.31,few clouds
43,Faanui,PF,-16.4833,-151.75,81.46,74,9,22.39,light rain
44,Muisne,EC,0.6,-80.0333,80.01,81,70,9.62,broken clouds
45,Mataura,NZ,-46.1927,168.8643,41.14,98,40,2.37,scattered clouds
46,Igrim,RU,63.1906,64.4162,28.76,88,28,6.4,scattered clouds
47,Cape Town,ZA,-33.9258,18.4232,59.92,84,0,11.01,clear sky
48,Kapaa,US,22.0752,-159.319,78.78,81,20,12.66,few clouds
49,Dunedin,NZ,-45.8742,170.5036,52.81,73,0,1.99,clear sky
50,Carutapera,BR,-1.195,-46.02,77.83,90,100,7.23,light rain
51,Playa Vicente,MX,17.8333,-95.8167,88.3,41,68,10.04,broken clouds
52,Bowen,AU,-20.0167,148.2333,74.25,87,10,12.06,clear sky
53,Bac Lieu,VN,9.285,105.7244,83.75,71,67,5.12,broken clouds
54,Iqaluit,CA,63.7506,-68.5145,15.53,66,75,20.71,broken clouds
55,Faya,SA,18.3851,42.4509,62.71,56,0,4.72,clear sky
56,Butaritari,KI,3.0707,172.7902,81.27,81,22,17.07,light rain
57,Busselton,AU,-33.65,115.3333,60.17,79,67,13.62,light rain
